appid,name,price
24420,Aquaria,6.99
24460,King Arthur: Fallen Champions,3.99
24480,King Arthur II: The Role-Playing Wargame,7.99
24640,Trainz: Classic Cabon City,14.99
24650,Trainz Settle and Carlisle,14.99
24670,Trainz™ Simulator 12,7.19
24720,SPORE™ Galactic Adventures,9.99
24740,Burnout Paradise: The Ultimate Box,9.99
24780,SimCity™ 4 Deluxe Edition,9.99
24790,Command & Conquer 3: Tiberium Wars,9.99
24800,Command & Conquer: Red Alert 3 - Uprising,9.99
24810,Command & Conquer 3: Kane's Wrath,9.99
24840,Medal of Honor: Airborne,9.99
24870,Need for Speed: Shift,9.99
24960,Battlefield: Bad Company™ 2,14.99
24980,Mass Effect 2,19.99
25000,Overgrowth,22.99
25010,Lugaru HD,7.99
25500,Cricket Revolution,1.99
25600,Eschalon: Book I,0.0
25620,Eschalon: Book II,4.79
25700,Madballs in Babo:Invasion ,3.99
25800,Europa Universalis III Complete,9.99
25830,Knights of Honor,7.49
25850,Elven Legacy,3.99
25890,Hearts of Iron III,7.99
25900,King's Bounty: The Legend,4.99
25910,Supreme Ruler 2020 Gold,6.99
25930,East India Company,7.99
25980,Majesty 2,7.99
25990,Majesty Gold HD,7.99
26000,The Maw,8.99
26300,Drug Wars,3.99
26800,Braid,10.99
26900,Crayon Physics Deluxe,15.99
27000,The Path,6.99
27020,The Graveyard,3.99
27050,Fatale,4.99
27200,Summer Athletics,15.99
27330,Blacklight: Tango Down,0.79
27400,Dangerous High School Girls in Trouble!™,14.99
27600,Mevo and The Grooveriders,5.99
27800,Space Giraffe,6.99
27810,Gridrunner Revolution,5.99
27900,Twin Sector,3.99
27920,Booster Trooper,1.69
27940,Dead Horde,4.79
28000,Kane & Lynch 2: Dog Days,7.99
29120,Yumsters 2: Around the World,3.99
29130,Musaic Box,3.99
29160,Blueberry Garden,3.99
29180,Osmos,6.99
29800,Caster,0.99
29900,Dark Sector,6.99
31270,Puzzle Agent,3.99
31300,Tunnel Rats,15.99
31800,Nancy Drew®: Danger by Design,5.19
31810,Nancy Drew®: Last Train to Blue Moon Canyon,5.19
31820,Nancy Drew®: The Haunted Carousel,5.19
31830,Nancy Drew®: Curse of Blackmoor Manor,5.19
31840,Nancy Drew®: Danger on Deception Island,5.19
31850,Nancy Drew®: Ghost Dogs of Moon Lake,5.19
31860,Nancy Drew®: Legend of the Crystal Skull,5.19
31870,"Nancy Drew® Dossier: Lights, Camera, Curses!",5.19
31880,Nancy Drew®: Secret of the Old Clock,5.19
31890,Nancy Drew®: Secret of the Scarlet Hand,5.19
31900,Nancy Drew®: The Creature of Kapu Cave,5.19
31910,Nancy Drew®: The Haunting of Castle Malloy,5.19
31920,Nancy Drew®: The Phantom of Venice,5.19
31930,Nancy Drew®: The White Wolf of Icicle Creek,5.19
31980,Nancy Drew®: Ransom of the Seven Ships,5.19
32000,Raycatcher,3.99
32110,LUXOR: Mah Jong,5.99
32120,Chainz 2: Relinked,6.99
32140,Midnight Mysteries,5.99
32150,Everyday Genius: SquareLogic,3.99
32160,Zombie Bowl-o-Rama,6.99
32200,Metal Drift,6.99
32310,Indiana Jones® and the Last Crusade™,4.79
32330,LEGO® Indiana Jones™: The Original Adventures,15.49
32340,LOOM™,4.79
32350,STAR WARS™ Starfighter™,4.79
32360,The Secret of Monkey Island: Special Edition,7.19
32370,STAR WARS™ - Knights of the Old Republic™,7.19
32380,STAR WARS™ Jedi Knight: Dark Forces II,4.79
32390,STAR WARS™ Jedi Knight - Mysteries of the Sith™,2.09
32400,STAR WARS™ - Dark Forces,4.79
32410,Lucidity™,4.79
32420,STAR WARS™: The Clone Wars - Republic Heroes™,15.49
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,15.49
32440,LEGO® Star Wars™ - The Complete Saga,15.49
32450,LEGO® Indiana Jones™ 2: The Adventure Continues,15.49
32460,Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,7.19
32470,STAR WARS™ Empire at War - Gold Pack,15.49
32500,STAR WARS™: The Force Unleashed™ II,15.49
32510,LEGO® Star Wars™ III - The Clone Wars™,15.49
32610,Delta Force Xtreme 2,14.99
32620,Delta Force,3.99
32630,Delta Force 2,3.99
32640,Delta Force Land Warrior,6.99
32650,Delta Force: Task Force Dagger,6.99
32660,Delta Force: Xtreme,14.99
32670,Delta Force: Black Hawk Down,0.0
32680,Delta Force — Black Hawk Down: Team Sabre,0.0
32710,Armored Fist 3,6.99
32720,F-16 Multirole Fighter,6.99
32730,F-22 Lightning 3,6.99
32740,MiG-29 Fulcrum,6.99
32750,Comanche 4,6.99
32760,Tachyon: The Fringe,6.99
32770,Joint Operations: Combined Arms Gold,14.99
32900,Restaurant Empire II,13.99
33100,Alien Shooter,3.99
33110,Alien Shooter: Revisited,3.99
33120,Alien Shooter 2: Reloaded,3.99
33130,Zombie Shooter,3.99
33180,Zombie Shooter 2,7.19
33230,Assassin's Creed 2 Deluxe Edition,8.59
33320,Prince of Persia: The Forgotten Sands™,8.59
33390,Zeit²,8.59
33460,From Dust,8.59
33520,Tropico Reloaded,5.99
33570,Patrician III,3.99
33600,Broken Sword 2 - the Smoking Mirror: Remastered,4.99
33610,Broken Sword 3 - the Sleeping Dragon,4.99
33620,Crash Time 3,3.99
33650,Puzzler World,4.99
33660,Ziro,4.99
33670,Disciples III - Renaissance Steam Special Edition,9.99
33680,eversion,3.99
33760,The Search for Amelia Earhart,4.99
33770,Drakensang: The River of Time,14.99
33790,Elizabeth Find M.D. - Diagnosis Mystery - Season 2,14.99
33900,Arma 2,7.99
33930,Arma 2: Operation Arrowhead,11.99
33950,Fish Fillets 2,3.99
33980,Pound of Ground,8.99
33990,Alternativa,9.99
34010,Alpha Protocol™,9.99
34030,Total War: NAPOLEON – Definitive Edition,0.0
34190,Sonic & SEGA All-Stars Racing,4.99
34410,Death to Spies: Moment of Truth,4.99
34420,XIII Century – Gold Edition,3.99
34500,Light of Altair,11.99
34600,Order of War™,5.99
34630,Massive Assault,6.99
34640,Massive Assault: Phantom Renaissance,6.99
34800,Chronicles of Mystery: The Scorpio Ritual,3.99
34810,Project Freedom,2.99
34820,Combat Wings: Battle of Britain,4.99
34830,Sniper: Ghost Warrior,5.99
34870,Sniper: Ghost Warrior 2,6.99
34900,Bad Rats: the Rats' Revenge,0.79
34920,Razor2: Hidden Skies,6.99
35000,Mini Ninjas,7.99
35070,Flora's Fruit Farm,2.99
35130,Lara Croft and the Guardian of Light,7.99
35140,Batman: Arkham Asylum Game of the Year Edition,14.99
35300,Warfare,9.99
35310,Clutch,6.99
35320,Insane 2,10.99
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,14.99
35460,The Ball,6.99
35480,Dwarfs!?,7.99
35600,Big Brain Wolf,3.99
35700,Trine Enchanted Edition,9.99
35720,Trine 2: Complete Story,13.99
35800,BRAINPIPE: A Plunge to Unhumanity,0.0
36000,Foreign Legion: Buckets of Blood,3.99
36100,Tradewinds Classics,3.99
36130,Tradewinds Caravans + Odyssey Pack,10.99
36180,Cake Mania Collection,10.99
36210,Monster Mash,3.49
36240,Kuros,4.99
36300,Cake Mania Main Street™,4.99
36310,Westward® IV: All Aboard,4.99
36320,Iron Roses,4.99
36900,Angle of Attack,6.99
36910,All Aspect Warfare,6.99
37000,The Void,6.99
37010,Ninja Blade,6.99
37030,UFO: Extraterrestrials Gold,9.99
37100,Aztaka,3.99
37210,Chocolatier®: Decadence by Design™,7.49
37220,Cooking Dash®,7.49
37230,Diaper Dash®,7.49
37240,Diner Dash:® Hometown Hero™,7.49
37260,Emerald City Confidential™,7.49
37270,Wandering Willows™,10.99
37280,Wedding Dash® 2: Rings Around the World,7.49
37300,DinerTown Tycoon,6.99
37310,DinerTown Detective Agency™,4.99
37320,The Nightshift Code™,4.99
37330,Nightshift Legacy: The Jaguar's Eye™,4.99
37340,Fitness Dash™,4.99
37370,TriJinx: A Kristine Kross Mystery™,4.99
37380,Valerie Porter and the Scarlet Scandal™,4.99
37390,Gemini Lost™,4.99
37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2.99
37500,Magnetis ,1.49
37600,Windosill,1.99
37700,Darkest of Days,14.99
